source,target,tgt_lng
autonomous driving,自动驾驶,
autonomous vehicle,自动驾驶车辆,
connected and automated vehicle,网联自动驾驶车辆,
connected autonomous vehicle,网联自动驾驶车辆,
CAV,网联自动驾驶车辆,
intelligent vehicle,智能网联汽车,
ego vehicle,自车,
surrounding vehicles,周围车辆,
mixed traffic,混合交通,
traffic flow,交通流,
traffic state,交通状态,
traffic density,交通密度,
lane change,换道,
lane-change decision,换道决策,
mandatory lane change,强制换道,
discretionary lane change,自主换道,
lane-changing maneuver,换道操作,
lane change duration,换道时长,
cut-in,切入,
cut-in vehicle,切入车辆,
off-ramp,出口匝道,
on-ramp,入口匝道,
ramp merging,匝道合流,
merging,合流,
diverging,分流,
weaving section,交织区,
miss-exit,错过出口,
deadline,截止时间,
deadline-aware,截止时间感知,
headway,车头时距,
time-to-collision,碰撞时间,
gap acceptance,间隙接受,
car-following,跟驰,
longitudinal control,纵向控制,
lateral control,横向控制,
trajectory planning,轨迹规划,
motion planning,运动规划,
decision-making,决策,
driving policy,驾驶策略,
driving strategy,驾驶策略,
efficient driving strategies,高效驾驶策略,
navigability,可导航性,
safety level,安全水平,
safety filter,安全过滤器,
safety filtering,安全过滤,
safety constraint,安全约束,
collision avoidance,碰撞避免,
risk assessment,风险评估,
reinforcement learning,强化学习,
deep reinforcement learning,深度强化学习,
RL,强化学习,
DRL,深度强化学习,
agent,智能体,
multi-agent reinforcement learning,多智能体强化学习,
Markov decision process,马尔可夫决策过程,
MDP,马尔可夫决策过程,
POMDP,部分可观测马尔可夫决策过程,
state space,状态空间,
action space,动作空间,
reward function,奖励函数,
reward shaping,奖励重塑,
policy,策略,
policy network,策略网络,
value function,价值函数,
Q-function,Q 函数,
actor-critic,演员-评论家,
PPO,近端策略优化,
SAC,软演员-评论家,
DDPG,深度确定性策略梯度,
TD3,双延迟深度确定性策略梯度,
DQN,深度 Q 网络,
training episode,训练回合,
convergence,收敛,
sample efficiency,样本效率,
sim-to-real,仿真到现实,
simulation environment,仿真环境,
large language model,大语言模型,
LLM,大语言模型,
foundation model,基础模型,
vision-language model,视觉语言模型,
prompt,提示词,
prompt engineering,提示词工程,
in-context learning,上下文学习,
chain-of-thought,思维链,
reasoning,推理,
reflection,反思,
memory module,记忆模块,
memory and reflection module,记忆与反思模块,
knowledge distillation,知识蒸馏,
policy distillation,策略蒸馏,
fine-tuning,微调,
few-shot,少样本,
zero-shot,零样本,
retrieval-augmented generation,检索增强生成,
hallucination,幻觉,
grounding,接地,
interpretability,可解释性,
explainability,可解释性,
ablation study,消融实验,
baseline,基线,
benchmark,基准,
dataset,数据集,
ground truth,真值,
evaluation metric,评价指标,
success rate,成功率,
collision rate,碰撞率,
robustness,鲁棒性,
generalization,泛化,
scalability,可扩展性,
computational efficiency,计算效率,
training efficiency,训练效率,
inference latency,推理时延,
real-time,实时,
upper bound,上界,
lower bound,下界,
optimal,最优,
suboptimal,次优,
heuristic,启发式,
rule-based,基于规则,
data-driven,数据驱动,
data-driven learning paradigms,数据驱动学习范式,
end-to-end,端到端,
dual-loop,双环,
self-learning,自学习,
attention mechanism,注意力机制,
Transformer,Transformer,
embedding,嵌入,
encoder,编码器,
decoder,解码器,
latent space,潜空间,
loss function,损失函数,
gradient descent,梯度下降,
overfitting,过拟合,
regularization,正则化,
